0,10.315
0.2,10.122
0.4,9.872
0.6,9.686
0.8,9.532
1,9.427
1.2,9.315
1.4,9.224
1.6,9.163
1.8,9.072
2,9.014
2.2,8.896
2.4,8.87
2.6,8.827
2.8,8.756
3,8.689
3.2,8.624
3.4,8.58
3.6,8.524
3.8,8.485
4,8.435
4.2,8.384
4.4,8.327
4.6,8.284
4.8,8.198
5,8.143
5.2,8.086
5.4,8.042
5.6,7.963
5.8,7.89
6,7.836
6.2,7.702
6.4,7.666
6.6,7.531
6.8,7.36
7,7.214
7.2,6.98
7.4,6.645
7.6,5.114
7.8,3.937
8,3.667
8.2,3.501
8.4,3.385
8.6,3.287
8.8,3.215
9,3.143
9.2,3.09
9.4,3.042
9.6,2.99
9.8,2.953
10,2.917
10.2,2.884
10.4,2.85
10.6,2.822
10.8,2.792
11,2.767
11.2,2.741
11.4,2.718
11.6,2.696
11.8,2.676
12,2.657
12.2,2.64
12.4,2.617
12.6,2.6
12.8,2.583
13,2.568
13.2,2.553
13.4,2.538
13.6,2.524
13.8,2.509
14,2.499
